Name,Raise,Stage,Funds and Investors,Date
The Better Money Company,$ 10.00M,Undisclosed,Andreessen Horowitz (a16z crypto)+11,Mar 31
OpenFX,$ 94.00M,Series A,Pantera Capital+7,Mar 31
Uniblock,$ 5.20M,Undisclosed,NGC Ventures+13,Mar 31
Keyrock,N/A,Series C,SC Ventures+1,Mar 31
Latitude,$ 8 M,--,New Enterprise Associates（NEA）*Coinbase,Mar 30
OmenX,N/A,Seed,M77 Ventures+2,Mar 30
Valinor,$ 25.00M,Seed,Castle Island Ventures+10,Mar 30
ARO Network,$ 5.00M,Strategic,No Limit Holdings,Mar 30
Capital B (Prev. The Blockchain Group),$ 3.21M,PIPE,UTXO Management+1,Mar 30
Midas,$ 50.00M,Series A,RRE Ventures+21,Mar 30
World,$ 65.00M,OTC Purchase,Not Set,Mar 28
Polymarket,$ 600.00M,Undisclosed,Intercontinental Exchange,Mar 27
ForgeX,N/A,M&A,Sonic SVM,Mar 26
Verse8,$ 5.00M,Seed,Neowiz+4,Mar 26
Tazapay,$ 36.00M,Extended Series B,Circle Ventures+5,Mar 26
XFX,$ 17.00M,Series A,Castle Island Ventures+2,Mar 26
Megapot,$ 5.00M,Pre-Seed,Dragonfly+6,Mar 26
Startale,$ 50.00M,Series A,SBI Group,Mar 26
2U2ai,--,Strategic,Cryptogram VentureK24 Ventures,Mar 25
Kairos Labs,$ 2.40M,Seed,6th Man Ventures+3,Mar 25
Eunice AI,N/A,Pre-Seed,Not Set,Mar 25
Eunice AI,$ 8.00M,Seed,Speedinvest+15,Mar 25
Watch.fun,$ 8.60M,Undisclosed,Solana Ventures+7,Mar 25
Tori Finance,N/A,Seed,Delphi Ventures,Mar 25
Payy,$ 6.00M,Seed,FirstMark+2,Mar 25
SwapCult,$ 3.00M,Strategic,Not Set,Mar 24
Eureka Labs,$ 6.70M,Seed,Collider Ventures+9,Mar 24
Enlivex,$ 21.00M,Debt Financing,Not Set,Mar 24
Rakkar Digital,N/A,M&A,DV8,Mar 24
PeakAI,$ 2.00M,Seed,ViaBTC Capital+6,Mar 23
Catapult,N/A,Undisclosed,KuCoin Ventures,Mar 23
Origins Network,$ 8.00M,Undisclosed,Animoca Brands+4,Mar 23
Core Scientific,$ 500.00M,Debt Financing,J.P. Morgan,Mar 23
IDEX,N/A,M&A,Katana,Mar 23
Rarible,N/A,M&A,Impossible,Mar 20
Bluesky,$ 100 M,Series B,Bain Capital Crypto*Alumni Ventures,Mar 19
Kalshi,$ 1.00B,Series E,Coatue Management,Mar 19
