Name,Raise,Stage,Funds and Investors,Date
Quantra,-,Seed,"Gemhead Capital, Coinvestor Ventures, Alpha Capital",Jan 30
Euclid Protocol,$3.5M,Unknown,"KuCoin Ventures, Gate Ventures, 0G Labs",Jan 29
Propy,$100M,Strategic,-,Jan 29
Xangle,$6.9M,Series A,Hanwha Asset Management,Jan 28
Flying Tulip,$50M,Series B,-,Jan 28
Talos,$45M,Series A,"Andreessen Horowitz, QCP Capital, Robinhood, Sony Innovation Fund, IMC",Jan 28
Startale Labs,$13M,Seed,Sony Innovation Fund,Jan 28
Doppler,$9M,Debt Financing,"Pantera Capital, Coinbase Ventures, Variant Fund, Figment Capital",Jan 28
Metaplanet,$137M,Seed,-,Jan 28
Bleap,$6M,Strategic,Blossom Capital,Jan 27
AetheriumX,$8M,Strategic,"Cryptogram Venture, Duckdao, Gains Associates",Jan 26
Sentient,-,Seed,Franklin Templeton,Jan 26
Tenbin Labs,$7.1M,Series C,"Galaxy Ventures, Wintermute, GSR",Jan 26
Mesh,$75M,Strategic,"Dragonfly, Paradigm, Moderne Ventures",Jan 26
Humanity Protocol,-,M&A,Hex Trust,Jan 26
Bulletin,-,Post-IPO,DefiLlama,Jan 26
Streamex,$35M,Pre-Seed,-,Jan 25
Zona,$0.5M,Seed,"Animoca Brands, Echo, Purple",Jan 25
Everything,$6.9M,Unknown,"Humanity Protocol, Hex Trust, Animoca Brands",Jan 25
Bullshot,-,Strategic,"Genesis Capital, Becker Ventures",Jan 23
Zama,$44M,M&A,-,Jan 21
Farcaster,-,Strategic,Neynar,Jan 21
Warden Protocol,$4M,Strategic,"0G Labs, Messari, Venice",Jan 21
Lazbubu,-,M&A,"Metis, Hotcoin Labs",Jan 21
Atlas,-,IPO,Chainlink,Jan 21
BitGo,$213M,Series C,YZi Labs,Jan 21
ZBD,$40M,Unknown,Blockstream Capital Partners,Jan 21
PAN,$1M,Series B,-,Jan 21
Superstate,$82.5M,Unknown,"Bain Capital Crypto, Distributed Global, HAUN",Jan 21
Elsa,-,M&A,-,Jan 20
Security Token Market,-,Seed,RedStone,Jan 20
Cork Protocol,$5.5M,Series A,"a16z CSX, Road Capital, IDEO",Jan 20
Finst,€8M (~$9.35M),Series A,"Endeit Capital, Eelko van Kooten",Jan 20
CheckSig,€3.5M (~$4.1M),Seed,-,Jan 19
Bitway,$4.44M,M&A,"Tron, HTX Ventures, YZi Labs",Jan 19
Immunefi,$2.5M,Seed,-,Jan 19
AKEDO,$5M,Unknown,"Karatage, Sfermion, Collab+Currency",Jan 18
Space,$20M,Unknown,-,Jan 16
Orochi Network,$8M,Angel,"Ethereum Foundation, MEXC Ventures",Jan 16
